Crawled Date,List Position on Page,List Name,List Description,GPT Position in List,GPT Name,GPT Description,GPT Author,GPT Logo Image URL
"2024-04-11",1,"Featured","Curated top picks from this week",1,"ChatPRD","An on-demand Chief Product Officer that drafts and improves your PRDs, while coaching you to become an elite product manager.  The best product copilot for PMs & engineers. Visit 👉 chatprd.ai for pro features","By Claire V Lawless","https://files.oaiusercontent.com/file-qeVpUG3AJT0FINT4eZ6Gbt2q?se=2123-10-17T23%3A41%3A20Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dcvolawless_illustration_of_a_female_ceo_at_a_laptop_lo-fi_asthe_c60ce7fb-5902-474c-aa85-54c7469aa089.png&sig=eHU4/LmvHg96KaqivlhaLufaIleMC1wm3pE0kMQF1AA%3D"
"2024-04-11",1,"Featured","Curated top picks from this week",2,"Music Teacher","Regular ChatGPT isn't great at music theory and relative scales, so I trained Music Teacher to be an expert in all things music! Theory, scales, production, arrangement/composition, genres, VSTs, DAWs, piano, guitar, percussion, marketing and more! Also includes DALLE image generation for cover art.","By gryphonedm.com","https://files.oaiusercontent.com/file-gLZOuk6mmgg4vsCuhWxgQ2Cm?se=2123-12-13T21%3A57%3A04Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3D3e763913-0301-49ec-b2f0-c9ad832df862.png&sig=cCp02Ji5dcCxt0UPu92vrFgmZ8p1jwkqUYlYbR4IfoY%3D"
"2024-04-11",1,"Featured","Curated top picks from this week",3,"UX Design Mentor","I provide specific UX or Product Design feedback.","By community builder","https://files.oaiusercontent.com/file-Nz98JJBUj7rzXmJAyALeuV87?se=2123-10-16T04%3A49%3A04Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D476c2153-1121-4e4c-ad3b-ea164ec21499.png&sig=8TkhKoq6xPQYcrXHiCzvp2SV0G9k3jMllTAy3fe30R8%3D"
"2024-04-11",1,"Featured","Curated top picks from this week",4,"Adobe Express","Stand out with Adobe Express. Quickly and easily make impactful social posts, images, videos, flyers, and more. Your use of Adobe Express GPT is acceptance of our terms of use (https://adobe.ly/legal) and privacy policy (https://adobe.ly/privacy)","By adobe.com","https://files.oaiusercontent.com/file-IlI6vrSO28C206NqM5KGUpkm?se=2124-02-24T04%3A01%3A24Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DIMG_2132.jpg&sig=5/G9vp4SGYDV%2BJxQjU7JAeyiAuQJy/aWMWSwZ2TJNdI%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",1,"image generator","A GPT specialized in generating and refining images with a mix of professional and friendly tone.image generator","By NAIF J ALOTAIBI","https://files.oaiusercontent.com/file-M1df4Ab7Ow6QCJ871tBUsi0x?se=2123-11-08T17%3A52%3A06Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D40face33-c6ad-4a5d-b402-5f7126e8325f.png&sig=G9qnRNHbnnN1gnz2NzVSyjwWvQ6hrGjr%2Be7hbYgnjRs%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",2,"Write For Me","Write tailored, engaging content with a focus on quality, relevance and precise word count.","By puzzle.today","https://files.oaiusercontent.com/file-hVjI65nZeCAowpoArhSWjynX?se=2123-10-24T11%3A26%3A42Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Ded9312a8-bf37-4345-93bd-2e8b54bc2a89.png&sig=nw8OKVAhe0pqBOvG8jlopI5cQ2npVyuHjAjSpr%2BWKFo%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",3,"Consensus","Your AI Research Assistant. Search 200M academic papers from Consensus, get science-based answers, and draft content with accurate citations.","By consensus.app","https://files.oaiusercontent.com/file-uUsDBz1ABhyOXkRiWhe5xohZ?se=2123-12-15T23%3A21%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3D2092%2520%25282%2529.png&sig=0CNjR0V7ipTUL/6R3rKszqP6mB25NOc2WjtIuDEwhrg%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",4,"Scholar GPT","Enhance research with 200M+ resources and built-in critical reading skills. Access Google Scholar, PubMed, JSTOR, Arxiv, and more, effortlessly.","By awesomegpts.ai","https://files.oaiusercontent.com/file-gk3ACPm7Tvy5DHe5aE9fqJ0W?se=2123-12-19T11%3A10%3A14Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DFrame%2520612.png&sig=dTPAPU4773Mz4PPaC6kCzsTf7ZiFgLSs/z3%2B3uGxkqY%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",5,"Code Copilot","Code Smarter, Build Faster—With the Expertise of a 10x Programmer by Your Side.","By promptspellsmith.com","https://files.oaiusercontent.com/file-A1fyzei74duvIafmxdcfJzQY?se=2124-03-18T05%3A58%3A43Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Dlogo.png&sig=sr5Bllcrma%2Bo1h/C26JvnRL8%2B5TLt7xJefmqhUHwb6A%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",6,"Canva","Effortlessly design anything: presentations, logos, social media posts and more.","By canva.com","https://files.oaiusercontent.com/file-6qPLxHx8u9lf2XszRtWG25RD?se=2123-10-14T00%3A38%3A41Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlogo.png&sig=LV3ZLlRkK4S61JLukf%2B10WLwU4%2B7%2B6NNkTLm2gsbw%2BU%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",7,"Logo Creator","Use me to generate professional logo designs and app icons!","By Chase Lean","https://files.oaiusercontent.com/file-dqdS1PEGuFcQ1GliVE2qBchP?se=2123-10-17T09%3A45%3A51Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D_7c6e5ee7-e05e-4685-bd8a-c3d81188ceb8.png&sig=0b5iWxPIKs//MVBoEqZ93ADvuWW%2BFlzsma%2BVtkKXYls%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",8,"Adobe Express","Stand out with Adobe Express. Quickly and easily make impactful social posts, images, videos, flyers, and more. Your use of Adobe Express GPT is acceptance of our terms of use (https://adobe.ly/legal) and privacy policy (https://adobe.ly/privacy)","By adobe.com","https://files.oaiusercontent.com/file-IlI6vrSO28C206NqM5KGUpkm?se=2124-02-24T04%3A01%3A24Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DIMG_2132.jpg&sig=5/G9vp4SGYDV%2BJxQjU7JAeyiAuQJy/aWMWSwZ2TJNdI%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",9,"Humanizer Pro","#1 Humanizer in the market. This tool humanizes AI-generated content, maintaining content meaning and quality. Designed for writers & content creators. Currently supports only English.","By charlyaisolutions.com","https://files.oaiusercontent.com/file-B3J9SZ6f8uh21XyDgNJ236pg?se=2123-10-22T14%3A41%3A35Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D579a0db4-4eef-4846-98f7-ff2979eb942e.webp&sig=xs2Th9HWsBkW5G60Vp90UmCc/QeGOrRXjF4XhcPHwhw%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",10,"Photo Realistic GPT","Generate realistic images with text","By genigpt.net","https://files.oaiusercontent.com/file-GyjjbdHxR7sQT8c2ZfIMAIfw?se=2124-02-24T22%3A31%3A05Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DIMG_7599.png&sig=He2JdpcLDBmkrJPeZQAeOnOQDgCPSnP2fmGpsRxW1eI%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",11,"Cartoonize Yourself","Turns photos into their cartoon versions. Upload your photo to try","By karenxcheng.com","https://files.oaiusercontent.com/file-bUZE1j8Ld1SJq9wEeJDfRGuM?se=2123-11-03T02%3A43%3A43Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D980728ef-7d57-4b4c-b0a5-dcf9e00676e9.png&sig=JT%2BynnJL4ai6H70cscNUpbO63WcvWtxZVZMFY2L3gag%3D"
"2024-04-11",2,"Trending","Most popular GPTs by our community",12,"Diagrams: Show Me","Create Diagrams, Architecture Visualisations, Flow-Charts, Mind Map, Schemes and more. Great for coding, presentations and code documentation. Export and Edit your diagram for free!","By helpful.dev","https://files.oaiusercontent.com/file-oZfvHmuEyjlshQ6c0XSpx45i?se=2123-10-29T17%3A22%3A28Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dicon-larger-margin.jpg&sig=SpFBbocELPtmU0NMVIXqk6yT3Q2vx4hAVwNaRlgT1vc%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",1,"DALL·E","Let me turn your imagination into imagery.","By ChatGPT","https://files.oaiusercontent.com/file-SxYQO0Fq1ZkPagkFtg67DRVb?se=2123-10-12T23%3A57%3A32Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dagent_3.webp&sig=pLlQh8oUktqQzhM09SDDxn5aakqFuM2FAPptuA0mbqc%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",2,"Data Analyst","Drop in any files and I can help analyze and visualize your data.","By ChatGPT","https://files.oaiusercontent.com/file-id374Jq85g2WfDgpuOdAMTEk?se=2123-10-13T00%3A31%3A06Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dagent_2.png&sig=qFnFnFDVevdJL3xvtDE8vysDpTQmkSlF1zhYLAMiqmM%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",3,"Hot Mods","Let's modify your image into something really wild. Upload an image and let's go!","By ChatGPT","https://files.oaiusercontent.com/file-wOlP7l6RXZJ4YvZq3pUAqLOY?se=2123-10-13T04%3A59%3A43Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DHotMods.png&sig=eayebboHdkASOIpNoSeDCqC9o5/XYCmjaV/oYy2%2BsmQ%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",4,"Creative Writing Coach","I'm eager to read your work  and give you feedback to improve your skills.","By ChatGPT","https://files.oaiusercontent.com/file-KSheuuQR8UjcxzFjjSfjfEOP?se=2123-10-13T00%3A52%3A56Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dcreative-writing.png&sig=MA3AFe4yhExdlgBje00y4%2BCLHpBkJ%2BUQKkiwknp46as%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",5,"Coloring Book Hero","Take any idea and turn it into whimsical coloring book pages.","By ChatGPT","https://files.oaiusercontent.com/file-MQvRHYzyhxlHQxjUk1bOIjaO?se=2123-10-13T17%3A23%3A32Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DDALL%25C2%25B7E%25202023-10-08%252020.15.58%2520-%2520Line%2520art%2520depiction%2520of%2520ghost%2520squids%2520hovering%2520near%2520an%2520underwater%2520shipwreck.%2520Clownfish%2520wear%2520phantom%2520masks%252C%2520and%2520turtles%2520have%2520Dracula%2520capes.%2520The%2520compositio.png&sig=e5MMoyC9BRd0ui7hfDfueOH%2Bp2Lwyss24d1ahnZhHCQ%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",6,"Planty","I'm Planty, your fun and friendly plant care assistant! Ask me how to best take care of your plants.","By ChatGPT","https://files.oaiusercontent.com/file-mQg3Ip5yicSVcDciY7kPxnIc?se=2123-12-15T16%3A38%3A45Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Dcf523198-c20a-4ca3-b18e-311bdcdd7127.png&sig=AknbZzhED5Wdtae6OAchwn5eBrCrQDTs/wu/M3jfBjU%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",7,"ChatGPT Classic","The latest version of GPT-4 with no additional capabilities.","By ChatGPT","https://files.oaiusercontent.com/file-i9IUxiJyRubSIOooY5XyfcmP?se=2123-10-13T01%3A11%3A31Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dgpt-4.jpg&sig=ZZP%2B7IWlgVpHrIdhD1C9wZqIvEPkTLfMIjx4PFezhfE%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",8,"Web Browser","I can browse the web to help you gather information or conduct research","By ChatGPT","https://files.oaiusercontent.com/file-3t4EXPvrgqocPOe7UtRwV5g0?se=2123-10-08T02%3A41%3A51Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dagent_1.png&sig=7Brxlagrbu8xb9dnLNJZzmKl24D8mgWo6yHeGgXGT%2B8%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",9,"Game Time","I can quickly explain board games  or card games to players of any age. Let the games begin!","By ChatGPT","https://files.oaiusercontent.com/file-JxYoHzuJQ2TXHBYy6UGC4Xs8?se=2123-10-13T00%3A46%3A49Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dc0bba883-a507-42dd-acfd-211509efd97c.png&sig=jZeFDXgC4ZbNC8mVNuQK7zeKS7ssRCh5QTlqa81WJEM%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",10,"The Negotiator","I'll help you advocate for yourself  and get better outcomes. Become a great negotiator.","By ChatGPT","https://files.oaiusercontent.com/file-MjvVb8L9Se5PdSC1gMLopCHh?se=2123-10-13T00%3A50%3A51Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dnegotiator.png&sig=GDq28k4lIHIZbvXfm9PjQerwO1kGUnkNn6a5aQD/7/M%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",11,"Cosmic Dream","Visionary painter of digital wonder.","By ChatGPT","https://files.oaiusercontent.com/file-M12eDkWHmobmgj5mhcWkMMVI?se=2123-10-13T07%3A48%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D28de0bdd-4c74-45a4-8d52-0fac85aea31a.png&sig=KdG%2BVt6/480jvqtjdwa4DulLX7BRqVN6FQfuuS9QaVI%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",12,"Tech Support Advisor","From setting up a printer to troubleshooting a device, I’m here to help you step-by-step.","By ChatGPT","https://files.oaiusercontent.com/file-soqNFMszjoxK9d3BFD3rAGA5?se=2123-10-13T00%3A53%3A58Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DTechSupport.jpg&sig=ztG5CVAIZeK5/C/wQkWdewTJVlXtRmmSRd5Z7XRsJ04%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",13,"Laundry Buddy","Ask me anything about stains,  settings, sorting and everything  laundry.","By ChatGPT","https://files.oaiusercontent.com/file-A2WHofOnsYQ8FF6nnlvOVXCv?se=2123-10-13T00%3A55%3A09Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlaundry-buddy.png&sig=dKwxpIQ1PTMFGHqg72Yipf8HYFr8O2hmyu93VskBalM%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",14,"Sous Chef","I’ll give you recipes based on the foods you love and ingredients you have.","By ChatGPT","https://files.oaiusercontent.com/file-w4J3XQ5bnIbssMVHKXZskSJB?se=2123-10-13T00%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DSousChef.jpg&sig=0SOuTgsd12ovY7zAHHfi84iLDi4wTFI0Qf%2Bv8nA%2B9No%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",15,"Math Mentor","I help parents help their kids with  math. Need a 9pm refresher on  geometry proofs? I’m here for you.","By ChatGPT","https://files.oaiusercontent.com/file-vRLKTttMrbx27eEJWEBVKJwt?se=2123-10-13T01%3A00%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dmath-mentor.png&sig=%2BS1FfwRE0ifFpK2QDAHtVLhsRzIBoFs/jqcjILyGYt8%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",16,"Mocktail Mixologist","I’ll make any party a blast with mocktail recipes with whatever ingredients you have on hand.","By ChatGPT","https://files.oaiusercontent.com/file-bRpq5C5YwRMtQGO7xFa3nT40?se=2123-10-13T19%3A41%3A29Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dmocktails.png&sig=8us63D/Hx%2BsAn8u99rsbW5BoihTQQD1eP/jFb6C1KNs%3D"
"2024-04-11",3,"By ChatGPT","GPTs created by the ChatGPT team",17,"genz 4 meme","i help u understand the lingo & the latest memes.","By ChatGPT","https://files.oaiusercontent.com/file-m64BWxDs6cs9o6xYn33ujZe1?se=2123-10-13T21%3A41%3A58Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D90ba2a5d-c6c8-4e78-8937-12afc91047b8.png&sig=9tkbKzmgTgbTqOqYfNbilDh5yIsgYw/DYCi95iEd3p0%3D"
"2024-04-11",4,"DALL·E","Transform your ideas into amazing images",1,"image generator","A GPT specialized in generating and refining images with a mix of professional and friendly tone.image generator","By NAIF J ALOTAIBI","https://files.oaiusercontent.com/file-M1df4Ab7Ow6QCJ871tBUsi0x?se=2123-11-08T17%3A52%3A06Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D40face33-c6ad-4a5d-b402-5f7126e8325f.png&sig=G9qnRNHbnnN1gnz2NzVSyjwWvQ6hrGjr%2Be7hbYgnjRs%3D"
"2024-04-11",4,"DALL·E","Transform your ideas into amazing images",2,"Logo Creator","Use me to generate professional logo designs and app icons!","By Chase Lean","https://files.oaiusercontent.com/file-dqdS1PEGuFcQ1GliVE2qBchP?se=2123-10-17T09%3A45%3A51Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D_7c6e5ee7-e05e-4685-bd8a-c3d81188ceb8.png&sig=0b5iWxPIKs//MVBoEqZ93ADvuWW%2BFlzsma%2BVtkKXYls%3D"
